date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:13:28	234468/234468	---M--	200	added ('OK')	application/font-woff	etag:%2261fd2c82-393e4%22	https://new.axilthemes.com/demo/template/etrade/assets/fonts/fa-duotone-900.woff	C:/My%20Web%20Sites/etrade/new.axilthemes.com/demo/template/etrade/assets/fonts/fa-duotone-900.woff	(from https://new.axilthemes.com/demo/template/etrade/assets/css/vendor/font-awesome.css)
12:13:29	501832/501832	---M--	200	added ('OK')	application/octet-stream	etag:%2261fd2c82-7a848%22	https://new.axilthemes.com/demo/template/etrade/assets/fonts/fa-duotone-900.ttf	C:/My%20Web%20Sites/etrade/new.axilthemes.com/demo/template/etrade/assets/fonts/fa-duotone-900.ttf	(from https://new.axilthemes.com/demo/template/etrade/assets/css/vendor/font-awesome.css)
12:13:31	429282/429282	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2261fd2c82-68ce2%22	https://new.axilthemes.com/demo/template/etrade/assets/fonts/fa-light-300.eot	C:/My%20Web%20Sites/etrade/new.axilthemes.com/demo/template/etrade/assets/fonts/fa-light-300.eot	(from https://new.axilthemes.com/demo/template/etrade/assets/css/vendor/font-awesome.css)
12:13:31	429282/429282	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2261fd2c82-68ce2%22	https://new.axilthemes.com/demo/template/etrade/assets/fonts/fa-light-300.eot?	C:/My%20Web%20Sites/etrade/new.axilthemes.com/demo/template/etrade/assets/fonts/fa-light-300d41d.eot	(from https://new.axilthemes.com/demo/template/etrade/assets/css/vendor/font-awesome.css)
12:13:32	164968/164968	---M--	200	added ('OK')	application/octet-stream	etag:%2261fd2c82-28468%22	https://new.axilthemes.com/demo/template/etrade/assets/fonts/fa-light-300.woff2	C:/My%20Web%20Sites/etrade/new.axilthemes.com/demo/template/etrade/assets/fonts/fa-light-300.woff2	(from https://new.axilthemes.com/demo/template/etrade/assets/css/vendor/font-awesome.css)
12:13:34	218228/218228	---M--	200	added ('OK')	application/font-woff	etag:%2261fd2c82-35474%22	https://new.axilthemes.com/demo/template/etrade/assets/fonts/fa-light-300.woff	C:/My%20Web%20Sites/etrade/new.axilthemes.com/demo/template/etrade/assets/fonts/fa-light-300.woff	(from https://new.axilthemes.com/demo/template/etrade/assets/css/vendor/font-awesome.css)
12:13:34	429000/429000	---M--	200	added ('OK')	application/octet-stream	etag:%2261fd2c82-68bc8%22	https://new.axilthemes.com/demo/template/etrade/assets/fonts/fa-light-300.ttf	C:/My%20Web%20Sites/etrade/new.axilthemes.com/demo/template/etrade/assets/fonts/fa-light-300.ttf	(from https://new.axilthemes.com/demo/template/etrade/assets/css/vendor/font-awesome.css)
12:13:35	502130/502130	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2261fd2c82-7a972%22	https://new.axilthemes.com/demo/template/etrade/assets/fonts/fa-duotone-900.eot?	C:/My%20Web%20Sites/etrade/new.axilthemes.com/demo/template/etrade/assets/fonts/fa-duotone-900d41d.eot	(from https://new.axilthemes.com/demo/template/etrade/assets/css/vendor/font-awesome.css)
12:13:36	397226/397226	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2261fd2c82-60faa%22	https://new.axilthemes.com/demo/template/etrade/assets/fonts/fa-regular-400.eot	C:/My%20Web%20Sites/etrade/new.axilthemes.com/demo/template/etrade/assets/fonts/fa-regular-400.eot	(from https://new.axilthemes.com/demo/template/etrade/assets/css/vendor/font-awesome.css)
12:13:37	152180/152180	---M--	200	added ('OK')	application/octet-stream	etag:%2261fd2c82-25274%22	https://new.axilthemes.com/demo/template/etrade/assets/fonts/fa-regular-400.woff2	C:/My%20Web%20Sites/etrade/new.axilthemes.com/demo/template/etrade/assets/fonts/fa-regular-400.woff2	(from https://new.axilthemes.com/demo/template/etrade/assets/css/vendor/font-awesome.css)
12:13:39	201232/201232	---M--	200	added ('OK')	application/font-woff	etag:%2261fd2c82-31210%22	https://new.axilthemes.com/demo/template/etrade/assets/fonts/fa-regular-400.woff	C:/My%20Web%20Sites/etrade/new.axilthemes.com/demo/template/etrade/assets/fonts/fa-regular-400.woff	(from https://new.axilthemes.com/demo/template/etrade/assets/css/vendor/font-awesome.css)
12:13:39	2066646/2066646	---M--	200	added ('OK')	image/svg+xml	etag:%2261fd2c82-1f88d6%22	https://new.axilthemes.com/demo/template/etrade/assets/fonts/fa-light-300.svg	C:/My%20Web%20Sites/etrade/new.axilthemes.com/demo/template/etrade/assets/fonts/fa-light-300.svg	(from https://new.axilthemes.com/demo/template/etrade/assets/css/vendor/font-awesome.css)
12:13:40	397226/397226	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2261fd2c82-60faa%22	https://new.axilthemes.com/demo/template/etrade/assets/fonts/fa-regular-400.eot?	C:/My%20Web%20Sites/etrade/new.axilthemes.com/demo/template/etrade/assets/fonts/fa-regular-400d41d.eot	(from https://new.axilthemes.com/demo/template/etrade/assets/css/vendor/font-awesome.css)
12:13:41	396932/396932	---M--	200	added ('OK')	application/octet-stream	etag:%2261fd2c82-60e84%22	https://new.axilthemes.com/demo/template/etrade/assets/fonts/fa-regular-400.ttf	C:/My%20Web%20Sites/etrade/new.axilthemes.com/demo/template/etrade/assets/fonts/fa-regular-400.ttf	(from https://new.axilthemes.com/demo/template/etrade/assets/css/vendor/font-awesome.css)
12:13:44	338998/338998	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2261fd2c82-52c36%22	https://new.axilthemes.com/demo/template/etrade/assets/fonts/fa-solid-900.eot	C:/My%20Web%20Sites/etrade/new.axilthemes.com/demo/template/etrade/assets/fonts/fa-solid-900.eot	(from https://new.axilthemes.com/demo/template/etrade/assets/css/vendor/font-awesome.css)
12:13:45	123060/123060	---M--	200	added ('OK')	application/octet-stream	etag:%2261fd2c82-1e0b4%22	https://new.axilthemes.com/demo/template/etrade/assets/fonts/fa-solid-900.woff2	C:/My%20Web%20Sites/etrade/new.axilthemes.com/demo/template/etrade/assets/fonts/fa-solid-900.woff2	(from https://new.axilthemes.com/demo/template/etrade/assets/css/vendor/font-awesome.css)
12:13:45	338998/338998	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2261fd2c82-52c36%22	https://new.axilthemes.com/demo/template/etrade/assets/fonts/fa-solid-900.eot?	C:/My%20Web%20Sites/etrade/new.axilthemes.com/demo/template/etrade/assets/fonts/fa-solid-900d41d.eot	(from https://new.axilthemes.com/demo/template/etrade/assets/css/vendor/font-awesome.css)
12:13:46	1856861/1856861	---M--	200	added ('OK')	image/svg+xml	etag:%2261fd2c82-1c555d%22	https://new.axilthemes.com/demo/template/etrade/assets/fonts/fa-regular-400.svg	C:/My%20Web%20Sites/etrade/new.axilthemes.com/demo/template/etrade/assets/fonts/fa-regular-400.svg	(from https://new.axilthemes.com/demo/template/etrade/assets/css/vendor/font-awesome.css)
12:13:47	164092/164092	---M--	200	added ('OK')	application/font-woff	etag:%2261fd2c82-280fc%22	https://new.axilthemes.com/demo/template/etrade/assets/fonts/fa-solid-900.woff	C:/My%20Web%20Sites/etrade/new.axilthemes.com/demo/template/etrade/assets/fonts/fa-solid-900.woff	(from https://new.axilthemes.com/demo/template/etrade/assets/css/vendor/font-awesome.css)
12:13:48	20120/20120	---M--	200	added ('OK')	application/octet-stream	etag:%2261fd2c82-4e98%22	https://new.axilthemes.com/demo/template/etrade/assets/css/vendor/flaticon/flaticon.ttf?407e24229cdad6f8c9e45e028e090cfd	C:/My%20Web%20Sites/etrade/new.axilthemes.com/demo/template/etrade/assets/css/vendor/flaticon/flaticon2916.ttf	(from https://new.axilthemes.com/demo/template/etrade/assets/css/vendor/flaticon/flaticon.css)
12:13:48	338716/338716	---M--	200	added ('OK')	application/octet-stream	etag:%2261fd2c82-52b1c%22	https://new.axilthemes.com/demo/template/etrade/assets/fonts/fa-solid-900.ttf	C:/My%20Web%20Sites/etrade/new.axilthemes.com/demo/template/etrade/assets/fonts/fa-solid-900.ttf	(from https://new.axilthemes.com/demo/template/etrade/assets/css/vendor/font-awesome.css)
12:13:48	10796/10796	---M--	200	added ('OK')	application/font-woff	etag:%2261fd2c82-2a2c%22	https://new.axilthemes.com/demo/template/etrade/assets/css/vendor/flaticon/flaticon.woff?407e24229cdad6f8c9e45e028e090cfd	C:/My%20Web%20Sites/etrade/new.axilthemes.com/demo/template/etrade/assets/css/vendor/flaticon/flaticon2916.woff	(from https://new.axilthemes.com/demo/template/etrade/assets/css/vendor/flaticon/flaticon.css)
12:13:48	9124/9124	---M--	200	added ('OK')	application/octet-stream	etag:%2261fd2c82-23a4%22	https://new.axilthemes.com/demo/template/etrade/assets/css/vendor/flaticon/flaticon.woff2?407e24229cdad6f8c9e45e028e090cfd	C:/My%20Web%20Sites/etrade/new.axilthemes.com/demo/template/etrade/assets/css/vendor/flaticon/flaticon2916.woff2	(from https://new.axilthemes.com/demo/template/etrade/assets/css/vendor/flaticon/flaticon.css)
12:13:49	20288/20288	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2261fd2c82-4f40%22	https://new.axilthemes.com/demo/template/etrade/assets/css/vendor/flaticon/flaticon.eot?407e24229cdad6f8c9e45e028e090cfd	C:/My%20Web%20Sites/etrade/new.axilthemes.com/demo/template/etrade/assets/css/vendor/flaticon/flaticon2916.eot	(from https://new.axilthemes.com/demo/template/etrade/assets/css/vendor/flaticon/flaticon.css)
12:13:49	2743/2743	---M--	200	added ('OK')	image/gif	etag:%22630df729-ab7%22	https://new.axilthemes.com/demo/template/etrade/assets/images/ajax-loader.gif	C:/My%20Web%20Sites/etrade/new.axilthemes.com/demo/template/etrade/assets/images/ajax-loader.gif	(from https://new.axilthemes.com/demo/template/etrade/assets/css/vendor/slick-theme.css)
12:13:50	2048/2048	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2261fd2c82-800%22	https://new.axilthemes.com/demo/template/etrade/assets/fonts/slick.eot	C:/My%20Web%20Sites/etrade/new.axilthemes.com/demo/template/etrade/assets/fonts/slick.eot	(from https://new.axilthemes.com/demo/template/etrade/assets/css/vendor/slick-theme.css)
12:13:50	163458/163458	---M--	200	added ('OK')	image/svg+xml	etag:%2261fd2c82-27e82%22	https://new.axilthemes.com/demo/template/etrade/assets/css/vendor/flaticon/flaticon.svg?407e24229cdad6f8c9e45e028e090cfd	C:/My%20Web%20Sites/etrade/new.axilthemes.com/demo/template/etrade/assets/css/vendor/flaticon/flaticon2916.svg	(from https://new.axilthemes.com/demo/template/etrade/assets/css/vendor/flaticon/flaticon.css)
12:13:50	2048/2048	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2261fd2c82-800%22	https://new.axilthemes.com/demo/template/etrade/assets/fonts/slick.eot?	C:/My%20Web%20Sites/etrade/new.axilthemes.com/demo/template/etrade/assets/fonts/slickd41d.eot	(from https://new.axilthemes.com/demo/template/etrade/assets/css/vendor/slick-theme.css)
12:13:50	1380/1380	---M--	200	added ('OK')	application/font-woff	etag:%2261fd2c82-564%22	https://new.axilthemes.com/demo/template/etrade/assets/fonts/slick.woff	C:/My%20Web%20Sites/etrade/new.axilthemes.com/demo/template/etrade/assets/fonts/slick.woff	(from https://new.axilthemes.com/demo/template/etrade/assets/css/vendor/slick-theme.css)
12:13:51	1892/1892	---M--	200	added ('OK')	application/octet-stream	etag:%2261fd2c82-764%22	https://new.axilthemes.com/demo/template/etrade/assets/fonts/slick.ttf	C:/My%20Web%20Sites/etrade/new.axilthemes.com/demo/template/etrade/assets/fonts/slick.ttf	(from https://new.axilthemes.com/demo/template/etrade/assets/css/vendor/slick-theme.css)
